,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,lapatinib,LBW242,Nilotinib,Nutlin-3,paclitaxel,Panobinostat,PD-0325901,PD-0332991,Crizotinib,PHA-665752,PLX4720,RAF265,Sorafenib,TAE684,TKI258,Topotecan,Vandetanib
Nutlin-3,4.67E-02,3.74E-02,2.21E-02,3.02E-02,3.91E-02,3.44E-02,8.35E-02,4.43E-02,0.00E+00,3.23E-02,1.53E-01,4.54E-02,6.39E-02,2.78E-02,7.34E-02,3.12E-02,2.31E-02,3.32E-02,3.80E-02,3.12E-02,1.13E-02,2.22E-02,5.29E-02,2.34E-02
paclitaxel,5.46E-02,4.42E-02,3.58E-02,5.60E-02,4.51E-02,3.94E-02,4.52E-02,4.89E-02,0.00E+00,2.33E-02,4.54E-02,1.25E-01,2.19E-02,5.30E-02,5.02E-02,2.67E-02,2.71E-02,5.47E-02,5.03E-02,3.29E-02,4.78E-03,1.90E-02,6.51E-02,3.13E-02
Panobinostat,2.27E-02,2.55E-02,3.60E-02,1.92E-02,1.59E-02,2.37E-02,6.13E-02,2.42E-02,0.00E+00,2.95E-02,6.39E-02,2.19E-02,3.96E-01,1.72E-02,4.69E-02,2.65E-02,3.78E-02,1.73E-02,2.48E-02,1.98E-02,0.00E+00,1.57E-02,3.53E-02,1.87E-02
PD-0325901,4.45E-02,4.59E-02,4.27E-02,1.25E-01,3.98E-02,9.71E-03,2.30E-02,3.89E-02,0.00E+00,2.31E-02,2.78E-02,5.30E-02,1.72E-02,1.32E-01,2.85E-02,3.13E-02,2.39E-02,7.07E-02,7.50E-02,4.01E-02,7.63E-03,2.23E-02,4.12E-02,3.62E-02
PD-0332991,5.57E-02,3.54E-02,1.91E-02,2.89E-02,3.76E-02,3.72E-02,1.00E-01,4.70E-02,0.00E+00,3.51E-02,7.34E-02,5.02E-02,4.69E-02,2.85E-02,1.50E-01,2.11E-02,1.93E-02,3.70E-02,3.94E-02,2.52E-02,1.25E-02,2.41E-02,5.59E-02,2.03E-02
Crizotinib,2.72E-02,4.05E-02,5.59E-02,2.97E-02,3.47E-02,0.00E+00,2.81E-02,3.44E-02,0.00E+00,4.38E-02,3.12E-02,2.67E-02,2.65E-02,3.13E-02,2.11E-02,2.55E-01,1.02E-01,4.15E-02,3.78E-02,3.16E-02,0.00E+00,3.72E-02,2.70E-02,3.71E-02
PHA-665752,3.09E-02,4.74E-02,5.83E-02,2.27E-02,4.06E-02,0.00E+00,1.99E-02,3.94E-02,0.00E+00,3.99E-02,2.31E-02,2.71E-02,3.78E-02,2.39E-02,1.93E-02,1.02E-01,2.12E-01,2.61E-02,2.59E-02,3.37E-02,3.86E-02,5.50E-02,2.87E-02,4.79E-02
PLX4720,5.23E-02,4.75E-02,3.18E-02,6.92E-02,4.57E-02,1.98E-02,3.01E-02,4.70E-02,0.00E+00,2.82E-02,3.32E-02,5.47E-02,1.73E-02,7.07E-02,3.70E-02,4.15E-02,2.61E-02,1.12E-01,7.05E-02,4.60E-02,4.61E-03,2.73E-02,4.65E-02,4.11E-02
RAF265,5.20E-02,4.21E-02,3.96E-02,7.56E-02,4.78E-02,1.15E-02,3.49E-02,4.44E-02,0.00E+00,2.80E-02,3.80E-02,5.03E-02,2.48E-02,7.50E-02,3.94E-02,3.78E-02,2.59E-02,7.05E-02,1.14E-01,4.57E-02,4.56E-03,2.40E-02,3.92E-02,3.51E-02
Sorafenib,4.08E-02,5.08E-02,5.80E-02,3.81E-02,5.88E-02,1.38E-02,2.60E-02,4.44E-02,0.00E+00,5.72E-02,3.12E-02,3.29E-02,1.98E-02,4.01E-02,2.52E-02,3.16E-02,3.37E-02,4.60E-02,4.57E-02,1.34E-01,9.32E-03,7.06E-02,2.94E-02,6.21E-02
TAE684,1.54E-02,1.80E-02,1.24E-02,7.22E-03,7.45E-03,0.00E+00,1.31E-02,1.32E-02,0.00E+00,2.31E-02,1.13E-02,4.78E-03,0.00E+00,7.63E-03,1.25E-02,0.00E+00,3.86E-02,4.61E-03,4.56E-03,9.32E-03,7.05E-01,5.57E-02,7.66E-03,2.88E-02
TKI258,2.94E-02,2.80E-02,3.89E-02,2.11E-02,5.00E-02,0.00E+00,2.50E-02,3.36E-02,0.00E+00,8.16E-02,2.22E-02,1.90E-02,1.57E-02,2.23E-02,2.41E-02,3.72E-02,5.50E-02,2.73E-02,2.40E-02,7.06E-02,5.57E-02,2.48E-01,2.02E-02,5.16E-02
Topotecan,5.18E-02,4.07E-02,2.66E-02,4.50E-02,4.40E-02,5.39E-02,4.85E-02,5.72E-02,0.00E+00,2.28E-02,5.29E-02,6.51E-02,3.53E-02,4.12E-02,5.59E-02,2.70E-02,2.87E-02,4.65E-02,3.92E-02,2.94E-02,7.66E-03,2.02E-02,1.40E-01,2.08E-02
Vandetanib,3.77E-02,3.50E-02,6.01E-02,3.43E-02,5.04E-02,9.46E-03,2.57E-02,4.39E-02,0.00E+00,6.46E-02,2.34E-02,3.13E-02,1.87E-02,3.62E-02,2.03E-02,3.71E-02,4.79E-02,4.11E-02,3.51E-02,6.21E-02,2.88E-02,5.16E-02,2.08E-02,1.84E-01
