,AICAR,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,ATRA,Gefitinib,ABT-263,Vorinostat,Nilotinib,RDEA119,CI-1040,temsirolimus,AZD-2281,ABT-888,Bosutinib,lenalidomide,Axitinib,AZD7762,GW 441756,CEP-701,SB 216763,17-AAG,VX-702,AMG-706,KU-55933,Elesclomol,BIBW2992,GDC-0449,PLX4720,BX-795,NU-7441,SL 0101-1,BIRB 0796,JNK Inhibitor VIII,681640,Nutlin-3,PD173074,ZM-447439,RO-3306,MK-2206,PD-0332991,NVP-BEZ235,GDC-0941,AZD8055,PD-0325901,SB590885,AZD6244,AZD6482,CCT007093,EHT 1864,BMS-708163,PF-4708671,JNJ-26854165,TW 37,CCT018159,AG-014699,Doxorubicin,etoposide,Gemcitabine,Mitomycin-C,Vinorelbine,NSC-87877,Bicalutamide,QS11,Midostaurin,CHIR-99021,AP-24534,JNK-9L,PF-562271,DMOG,FTI-277,OSU-03012,shikonin,AKT inhibitor VIII,embelin,FH535,pac-1,IPA-3,GSK-650394,BAY 61-3606,thapsigargin,Obatoclax Mesylate,BMS-754807,OSI-906,Bexarotene,Bleomycin,LFM-A13,AUY922,Bryostatin 1,Pazopanib,LAQ824,Epothilone B,GSK-1904529A,Tipifarnib,AS601245
A253,3.457738445,-1.483167337,-1.790661727,1.448871102,0.223603463,-2.029783835,0.574478226,2.557403858,1.190542321,1.332462374,0.466913472,2.369549345,0.550352299,1.495612914,-0.377841845,2.712278482,2.70040183,1.152282714,2.708328139,1.605828167,-0.253751317,1.174700126,0.76119011,2.926833853,-0.520959683,2.248599201,1.856219782,2.454449574,-1.76898609,0.77748701,2.292902884,2.886630779,1.763311164,1.726277136,3.038176535,2.704723061,2.629682186,2.155458235,2.901585709,2.238973498,1.708955301,2.177091746,1.62365031,1.56670084,-0.490125209,1.969927632,0.27774739,-0.247636016,2.696041514,2.733743052,2.301955489,2.471500409,2.278024823,1.993605367,2.494742113,0.838147961,-0.662033731,1.567222428,2.743861679,-1.336156917,-1.73456,-0.990230071,-0.461371874,-2.912746643,2.653909738,1.939464914,1.390567936,0.690467859,2.043278233,0.696974459,-0.583165419,1.251029987,2.365599003,1.806878283,0.366704797,-2.125354678,1.01659826,0.889125447,0.772837888,2.017766472,2.714309677,1.911412531,2.124722346,-2.762399974,-0.240143134,1.531925144,2.341429212,2.467076686,0.455639621,2.003781321,-1.296540575,-1.803322714,1.056564644,-0.648103735,-1.986592814,1.351007617,1.01968262,0.910602612
A2780,3.849092495,-2.478746179,-2.399005369,0.683747152,-0.577529145,-2.383608761,-1.263308361,1.37401567,1.223960847,1.707817883,0.608489999,2.009252997,1.22573798,0.396271566,-1.44184552,1.715150511,2.346668975,1.913747732,1.89312135,0.113574956,-0.149285688,1.968104464,-0.763096663,2.916030778,-0.882549794,0.811652089,1.808238928,2.772836504,-2.230019649,1.294214059,2.907965929,2.310992986,0.96286561,2.088885234,2.423544744,2.524532109,2.437474305,1.921739619,2.261293194,1.042606854,2.305071381,2.706722552,2.110550448,1.693927409,-0.972775341,0.640165701,0.236051645,0.942726072,2.681635097,2.618391398,0.736856868,1.912360161,0.804930079,1.57390318,1.140007815,1.035126132,-0.660633566,0.574603303,0.288001951,-1.162502966,0.043469838,-3.568289843,-0.972125637,-2.195069366,2.270019473,2.085710107,1.122912681,-0.323280561,2.285312719,-0.464657746,-0.185081976,0.491838935,3.307674502,0.546010223,0.831669156,0.408655039,1.307652868,1.121421748,0.739939647,0.881946993,1.452873994,2.009658194,0.183407337,-3.706875384,-1.682247927,-0.063855186,1.240897029,1.748322793,-0.657210456,2.350906821,-1.76575103,-0.677998396,1.045177009,-1.216661225,-2.679804546,1.676562578,0.519145635,1.087793023
A375,3.209804937,-3.06351979,-2.67709064,0.120676973,-1.122183066,-2.767109029,1.196091735,1.978482799,0.766078094,1.551234311,-0.034617613,1.153378873,-1.105917435,-0.978843304,-2.667227812,0.896496293,1.708419816,-0.440372433,1.834637084,0.638486284,-0.812534141,1.314084769,-1.112356719,1.682532824,-0.656089542,2.200489361,1.070320488,1.264278141,-2.694844164,1.443183147,1.07280943,-0.693335071,0.024811244,0.747509834,2.388855038,1.928729155,1.941149977,0.854080054,0.257363779,1.668741369,0.135625824,1.033669942,0.705282947,-0.129147887,-1.753129998,-0.16430142,-0.466076152,-2.807233062,0.145401793,2.109001754,1.681516594,2.512965109,2.494638317,2.001235921,2.57441387,0.991351854,-1.05143997,0.48891179,1.313793792,-2.037716658,-0.200079034,-5.002217306,-0.855677823,-1.417809492,2.830492571,1.859716721,0.83691413,-0.251016999,1.738826944,0.488809731,-0.205595442,1.577086124,2.245320712,1.676091369,0.338292384,-0.507087014,1.667821967,0.552967621,0.553897879,-0.061053553,2.562243636,0.720566204,0.103199226,-4.04956413,-2.456551125,-1.175327248,-0.322235648,1.01892521,-1.148146493,2.281822729,-1.663417787,-0.345855622,1.61846136,-1.473470844,-4.301259063,1.776801219,-0.210081704,1.574905966
A4-Fuk,2.447516497,-2.249972006,-2.673943308,0.932879313,-0.077696586,-1.611645976,-1.686900958,1.82728969,1.511763023,1.833642549,-0.095351525,0.661517789,-0.008589911,1.078681525,-0.971168886,2.472259122,2.716805567,-0.196684154,1.126930339,0.274947059,-1.034622784,1.7861759,-1.319743192,3.018172497,1.845853607,0.294817769,2.232958954,1.923488089,-0.776312678,1.142873724,1.836141045,1.141233828,0.597535789,2.192883127,2.807504061,2.142897135,3.101913593,0.787286865,1.571807709,-0.130826001,0.643938417,1.447829229,-0.506864221,1.043430276,-1.672568372,-0.601059654,-1.003879947,-0.508032908,2.760529902,0.22517778,0.771916027,2.156213039,2.625378327,2.468257098,2.59368091,0.686521425,-0.629881173,1.642997261,2.65466845,-0.789203841,-0.075188535,-3.203217993,-0.646997587,-2.394123899,3.20451523,1.851619301,1.602944886,-0.251440002,2.657540439,-0.279611816,-0.01211421,0.610512074,1.65356408,1.826745519,1.317538713,-0.602525398,0.269115353,1.694588405,2.177494337,0.77933363,0.974905122,1.174294061,0.257174426,-4.285934114,-1.048329118,-2.244087315,-1.551841455,1.578228753,1.402915362,1.769205843,-1.76892138,-0.539043271,2.647507368,-2.289447637,-2.962749573,1.703430206,-1.686322478,1.784508643
A427,3.977865152,-2.371468493,-1.901482387,2.544504009,-1.462270823,-2.730059801,1.209091907,2.917317592,1.775060132,-0.031413388,-0.035814963,1.130242269,0.649408356,0.555767083,-0.738321465,1.531448723,1.909066472,0.539231755,2.230545145,0.042893963,-0.702638962,1.446334822,-1.630579044,2.659786176,-0.376950239,1.638968311,1.835330652,1.975420154,-2.217024255,1.578761632,2.210859879,1.912077001,0.239521658,0.743244193,2.831794152,2.830170759,2.752864604,0.872772957,0.83748045,1.398500325,0.667036803,2.761186989,1.068532497,1.267392466,-0.738563802,1.23637168,-0.016834557,-0.246756136,0.726787907,1.135734791,1.666576328,2.100020978,2.141156918,2.855355062,0.757826065,0.909659324,-1.349758586,1.674249091,1.460929288,-1.927651236,-0.985555325,-0.48948723,-0.520962289,-2.508174841,3.25549402,1.954433308,1.990607432,-0.92378649,2.266305387,-0.56440824,-0.543447017,1.872928828,2.807278228,1.915684686,-0.077322224,-1.744850174,0.4881179,1.535448575,-0.638198347,1.060597069,2.03037187,0.273257654,0.663188954,-2.672755512,-1.06995568,-0.614008579,0.512816661,0.776157635,-3.928157977,2.602153127,-1.88637502,-0.079336047,0.29683029,-1.30608159,-3.082108028,1.946934345,-0.237196011,2.026251718
A498,4.198971421,-2.150134653,-2.226383301,1.29190535,0.571649232,-3.453478017,0.971909793,2.606427453,0.360621635,2.260871494,0.506330908,2.249702309,1.551336804,1.333069084,-0.355802703,2.282248772,2.537220456,0.146479277,1.87466036,1.615965469,0.237952552,0.885764008,-0.654686337,1.289028149,-0.992270386,2.224712136,2.401475636,2.525574415,-1.332122756,-0.39067959,2.716823373,2.049343155,0.659329379,2.331638043,2.779188495,3.08956747,2.915118325,1.770032305,1.838667771,2.26711274,0.374179874,2.097925508,0.833759415,1.716833837,-1.12404923,0.115522332,0.806384531,-0.653921979,2.738141152,0.943729292,2.252133867,2.564404685,2.49792636,2.89836281,2.566288654,1.480697504,0.174563798,1.889559701,2.288910415,1.262393737,1.794979917,1.584886487,2.576304788,-0.263766582,2.407170105,1.522937854,2.840288952,1.426543588,-0.5107555,0.718607102,2.499556267,1.919849135,2.75430125,1.615462556,2.668872051,1.622436457,2.008021338,2.551622964,3.126520719,2.035509139,3.363516086,2.922813155,2.079070178,0.663240201,2.977813077,1.301118473,1.576592766,2.310830994,3.008234102,2.459905181,0.717047116,-0.988052953,2.100314996,0.646466011,-1.212528913,1.509752673,3.134724976,2.395716022
A549,3.561097058,-1.876521312,-1.912077436,1.577247682,-0.854659837,-2.856786496,1.056608508,1.557388264,0.818563885,0.671000609,0.131648121,2.115583487,-0.659960843,0.352723989,-1.768783274,1.647246832,2.119787892,0.401223826,2.218027041,0.455784241,-0.450380315,0.852803228,-1.269773269,2.048742092,-3.029681735,2.131704064,1.977477842,0.7929505,-2.29418579,0.704507731,2.390881022,1.699976262,0.222751377,0.243726932,3.022736932,2.696392424,2.840989034,1.813396175,0.570840576,2.173899247,1.622099879,1.164138085,0.394879218,0.065189339,-1.935769503,-0.324765848,-0.836774287,-1.64567208,2.558602945,2.428531748,1.336262017,2.573285139,1.314167719,2.007816786,1.339433669,2.370407077,-1.851091199,0.619725631,1.852223839,-0.685283894,0.593436242,-1.088737788,-0.773040244,-1.628652096,2.980877399,1.951630112,1.781395491,-0.152833681,1.817883383,0.705284252,-0.142989437,1.06782855,2.778091574,1.284437292,1.559487068,0.591131254,1.128207603,1.421360281,0.895254886,1.754431679,2.708388179,1.990416373,1.209821553,-1.828028144,-0.093104159,0.180234013,1.385630955,1.726720833,0.784647171,2.42052666,-1.19783763,-0.947018487,1.753107512,-0.986406946,-2.379174732,1.59838068,1.168768149,1.253273109
A673,3.413733991,-3.088891708,-2.162709215,0.336822297,-0.650094976,-2.540033816,0.205557224,1.450935303,0.938324932,1.926387005,0.353844035,2.006771873,1.350461709,0.936112636,-0.793929399,1.613147332,2.53294309,1.203131215,2.157470755,1.434731342,-0.062802891,1.942032029,-0.144175345,2.916313069,1.744768527,2.308168769,1.283011433,2.28017241,-1.935375163,1.618212074,2.442962485,1.727399353,2.355786553,1.836453303,2.477771622,2.75343049,2.729799658,1.920062374,2.56148058,2.338622801,2.338574594,2.422565844,2.208723584,0.772271568,1.312827486,2.50211513,1.859400989,0.693241264,2.322010603,2.24062208,1.236241348,2.262796287,1.840314615,2.494106306,2.916272246,1.425420502,-1.268852999,0.959077693,0.728831262,-0.665958885,0.335175018,-1.466383158,-0.102595557,-2.138569825,2.100257669,1.927022812,1.630142144,0.068441336,2.426551799,0.295602539,0.047886178,1.473224165,2.721294001,2.18748615,0.681055395,0.08653057,1.651921144,1.10151282,0.476797146,2.394629418,3.676824811,1.243363821,1.087313997,-2.140468126,-0.123915942,-0.218344591,1.015795684,1.29228058,1.019389037,2.401709286,-0.981659704,-0.004540115,2.903038424,-0.980756371,-2.605536715,1.988265717,1.186016104,1.609897941
A704,3.40391025,-1.813759679,-0.921874291,2.062295988,0.787717251,-1.757290974,1.358210391,2.084380297,2.002207004,-0.369876016,0.701620107,1.570336523,0.671675068,1.373102349,0.566797728,2.683403979,2.540776025,0.868219813,2.765473041,0.785738605,-0.26856597,2.189475653,-0.014468955,2.179841533,0.221578782,2.325124929,1.739378498,1.297334465,-1.561439797,1.266591193,2.788228769,1.352481178,1.473004412,0.644328414,3.260632158,2.908406304,3.119145964,0.820758196,1.885792196,0.632177288,1.223308526,1.014174463,0.8215527,1.556817601,-1.254999873,0.178359098,-0.087255407,0.586343151,2.736178141,2.570476556,1.274957603,2.315433647,2.086331148,2.223100469,1.953165257,0.933478528,-0.653237632,1.542395956,1.613455138,0.360091795,2.94974723,-1.269398473,0.377144368,0.76651456,3.219942673,1.884773342,2.929435277,-0.388094669,0.488720266,0.226113251,-0.355191216,1.746244694,3.055256034,1.210872514,1.117593442,0.432113021,1.606228587,1.035654668,0.411798028,0.985825022,2.934009701,1.246594538,2.43684067,-0.606528725,-1.038561401,0.370142238,1.774026077,1.074484503,1.027088644,1.578588783,-0.456887349,-0.495149562,0.204995247,-1.003495596,-1.835732374,1.577422268,2.035165178,1.595045504
ABC-1,4.508957359,-2.459943833,-1.809926162,0.557269742,0.181995446,-1.856708798,1.325302595,2.835802255,1.091349895,1.250762896,0.415741856,1.927340281,2.216232536,1.385122317,-0.49434742,1.895853931,2.141099156,0.62668216,1.472718646,0.595398191,-0.583964521,0.757547682,1.097139475,2.915890067,1.670744769,2.323801633,1.491732927,2.802036728,-3.43732313,1.536170372,3.020853831,2.84388187,0.682300952,2.20997305,2.684423268,2.254502131,2.312068299,1.598986726,1.733376548,1.902776585,0.147219749,1.268640629,0.367827449,0.251837381,-0.376290111,2.41238685,1.428065356,-0.910023263,2.369456406,1.434527658,1.878056601,2.462200862,1.453872002,2.428869629,1.004482313,1.202622222,-0.501000377,2.85189026,2.903186084,-1.078575557,-0.393048232,-1.64501977,-1.213273728,-2.519397445,3.225867753,1.61325938,1.170809282,-0.872406847,2.463995366,1.198747446,-0.051240669,0.352559826,2.65067989,1.408079124,0.503158821,-0.150282828,1.012224481,2.216667265,0.532431137,2.075753037,2.619880593,0.818424911,1.008944689,-2.495959875,-0.296743865,-0.932015501,-0.044061781,1.885529883,1.293757616,2.797910496,-1.057533121,-0.8592221,2.22473081,-1.44775149,-2.775904795,1.678151227,0.506786048,0.987904424
